event_id,event_type_id,name_key,description_key,image_name,image_prompt,weight,is_minor,biome
plains_tang_patrol,encounter,event.plains_tang_patrol.name,event.plains_tang_patrol.description,plains_tang_patrol,"A stern Tang military officer in lamellar armor with red-lacquered iron plates and leather lacing stands at the center of a dusty loess road, gripping a lacquered wooden writing tablet in one hand. His bronze helmet with hinged cheek guards catches the morning light. Two soldiers flank him, each holding a bronze-tipped halberd upright, their quilted cotton underarmor visible beneath chest plates. Behind them, bamboo barriers lashed with coarse hemp rope stretch across the road between two wooden posts. A command tent of oiled canvas rises beyond the barriers, its ridge pole flying a crimson silk banner embroidered with a coiling golden dragon — the symbol of Tang authority. In the foreground, the weathered gray-wood edge of a merchant's cart enters the frame from the lower right, loaded with hemp-wrapped cylindrical bales and round ceramic jars sealed with dark beeswax. Iron-rimmed cart wheels rest on the packed earth road. The flat landscape beyond shows golden wheat fields stretching to a hazy horizon under a pale yellow sky filtered through fine loess dust. Low morning sun from the left casts long warm shadows. The atmosphere is tense but orderly — a checkpoint, not a battle.",0.5,0,plains
plains_dacoit_ambush,bandit_attack,event.plains_dacoit_ambush.name,event.plains_dacoit_ambush.description,plains_dacoit_ambush,"A band of Indian dacoits with faces painted in white and ochre clay streaks bursts from tall golden elephant grass, forming a menacing half-circle around a merchant caravan. The dacoit leader at the center raises a curved steel talwar overhead, its blade catching harsh midday sunlight, wearing a torn cotton dhoti wrapped at the waist and a leather bandolier slung across his bare chest. Behind him, four men hold crude wooden shields and iron-tipped spears, their torches of bundled reeds soaked in sesame oil trailing greasy black smoke. In the foreground, the side of a two-wheeled ox cart loaded with hemp-wrapped bales and copper vessels fills the lower frame, its wooden sideboards scarred and dusty. A pair of wide-eyed bullocks strain against their yoke, nostrils flaring. The surrounding landscape is flat alluvial plain, with knee-high wild grass swaying in hot wind, scattered neem trees in the middle distance, and a pale overcast sky pressing down with humid heat. Warm diffused light flattens the shadows. The atmosphere is one of sudden ambush and imminent violence — a frozen moment before the clash.",0.8,0,plains
plains_sogdian_merchant,encounter,event.plains_sogdian_merchant.name,event.plains_sogdian_merchant.description,plains_sogdian_merchant,"A smiling Sogdian merchant in a richly embroidered silk kaftan with gold thread geometric patterns and a round felt cap stands before a colourful tent of dyed wool panels in crimson, cobalt, and saffron yellow, one hand pressed to his chest in greeting. At his feet, bolts of shimmering brocade fabric — deep purple, emerald green, and gold — are unrolled across a woven reed mat. A low bronze brazier beside the tent emits thin curls of grey smoke, with a copper teapot and small ceramic cups arranged on a wooden tray nearby. Behind the merchant, open hemp sacks reveal folded textiles and skeins of dyed thread. In the foreground, the dusty edge of a caravan road stretches diagonally, with cart wheel ruts pressed into pale brown earth. The middle distance shows flat Central Asian steppe with low scrub grass and occasional clusters of wild tamarisk. A cloudless pale blue sky dominates the upper frame, with the sun high and slightly behind the viewer casting short, crisp shadows on the ground. The light is warm and even, picking up the metallic sheen of gold embroidery. The atmosphere is welcoming and mercantile — a roadside trade encounter on the open plain.",0.5,0,plains
plains_broken_wheel,caravan_trouble,event.plains_broken_wheel.name,event.plains_broken_wheel.description,plains_broken_wheel,"A heavy two-wheeled merchant cart tilts sharply to the right on a rutted steppe road, its cracked wooden spoke jutting outward at an unnatural angle from the iron-rimmed wheel. Hemp-wrapped bales and burlap sacks slide toward the lower side, one sack already hanging over the splintered sideboard. A stocky draught ox stands tangled in its leather harness, head lowered, ropes twisted around its forelegs. A caravan worker in a dusty cotton tunic and leather vest crouches beside the broken wheel, hands on the fractured spoke, examining the damage. Scattered around him on the packed earth are a coil of rawhide cord, a wooden mallet, and strips of spare leather. The cart's wooden frame shows wear — patched planks, iron nail heads rusted orange, and frayed rope bindings. The landscape stretches in every direction as flat, treeless steppe covered in dry golden grass under a wide open sky of washed-out blue. A faint line of the road disappears toward a featureless horizon. Late afternoon sun from the west casts long shadows from the tilted cart across the cracked earth. The atmosphere is one of isolated misfortune — a breakdown far from help.",0.5,0,plains
plains_indian_festival,encounter,event.plains_indian_festival.name,event.plains_indian_festival.description,plains_indian_festival,"A sun-weathered Indian village headman in a crisp white cotton dhoti and bare chest stands at the entrance to a festive village square, arms open in welcome, a garland of bright orange marigold blossoms draped around his neck. Behind him, the village square is alive with color: strings of marigold garlands hang between mud-brick houses with thatched roofs, and rows of small clay oil lamps — diyas — line the edges of a packed-earth clearing. Women in vivid cotton saris of magenta, turquoise, and gold sit beside brass platters heaped with saffron-tinted rice and round wheat flatbreads. A pair of drummers squat beside a painted wooden post, hands poised on tabla drums. In the foreground, the dusty road enters the frame from the bottom, with the wooden wheel of a merchant cart visible at the edge. Wisps of fragrant smoke rise from a ghee-fed fire pit near the center of the square, where a carved stone Surya idol stands on a raised clay pedestal decorated with red kumkum powder and flower petals. The background shows flat green fields of young rice paddies under a bright, warm afternoon sky with scattered white clouds. Golden afternoon light bathes the scene. The atmosphere is joyful and sacred — a harvest festival in full celebration.",0.5,0,plains
plains_persian_scholar,encounter,event.plains_persian_scholar.name,event.plains_persian_scholar.description,plains_persian_scholar,"A middle-aged Persian scholar in a faded indigo cotton robe and a white linen turban sits cross-legged on a threadbare woolen rug spread at the roadside, surrounded by a semicircle of open parchment scrolls and leather-bound codices. His weathered face is framed by a neat grey beard, and he holds a bamboo reed pen in one hand, looking up toward the viewer with an expression of hopeful curiosity. Beside him, a lean grey donkey with sagging saddlebags of cracked brown leather stands tethered to a gnarled tamarisk bush, ears drooping. A ceramic inkwell and a small brass astrolabe rest on the rug among the scattered manuscripts, some weighted down with river stones against the breeze. In the foreground, dry steppe grass in pale gold presses against the rug's frayed edge. The middle distance reveals a straight packed-earth road stretching across flat plains dotted with low scrub. In the background, a line of distant blue-grey hills marks the horizon beneath a high, clear sky washed in pale amber by late afternoon light. The sun is low from the right, casting the scholar's long shadow across the scrolls. The atmosphere is contemplative and solitary — a man of learning stranded far from his library.",0.5,0,plains
plains_abbasid_deserters,bandit_attack,event.plains_abbasid_deserters.name,event.plains_abbasid_deserters.description,plains_abbasid_deserters,"Six Abbasid deserters in battered iron chainmail hauberks with torn green cloth patches stitched to their upper sleeves stand in a loose line across a flat dusty road, weapons drawn. Their leader — a tall, broad-shouldered man with a thick black beard and a prominent scar running diagonally across his left cheek — steps forward, his right hand resting on the hilt of a curved Arab sabre with a leather-wrapped grip, his left hand raised palm-out in a halt gesture. The men behind him carry a mix of weapons: short spears with iron leaf-blade heads, a wooden round shield with hammered bronze boss, and a recurve bow held low. Their armor is dented, sand-scoured, and missing plates, their cotton undergarments stained with sweat and road dust. In the foreground, the packed-earth road shows fresh boot prints and the shadow of the viewer's cart falling forward. The middle ground is open Mesopotamian plain — flat brown earth with sparse tufts of dried grass and a few low scrub bushes. The background reveals a vast pale sky with thin high clouds, and the faint smudge of a distant mud-brick settlement on the horizon. Harsh noon sun from directly above creates short, dark shadows beneath the men's feet. The atmosphere is threatening and desperate — hardened soldiers turned to banditry.",0.8,0,plains
plains_abandoned_camp,discovery,event.plains_abandoned_camp.name,event.plains_abandoned_camp.description,plains_abandoned_camp,"An abandoned campsite in a flat grassy clearing beside a dirt road, viewed from the edge as if the viewer has just stopped to look. At the center, a ring of fire-blackened stones surrounds a mound of grey-white ash with a few unburned sticks poking out. An overturned copper kettle lies on its side nearby, its bottom dented and green with patina. Two rough wooden stakes driven into the ground hold scraps of torn beige linen flapping in a light breeze. Scattered across the trampled grass: coils of frayed hemp rope, strips of cut leather, and broken reddish pottery shards. A rolled carpet — deep crimson with geometric patterns in faded blue and cream — peeks from beneath a second overturned cooking pot. Boot prints and hoof tracks in the soft earth lead in multiple directions away from the camp, suggesting a hasty departure. In the foreground, tall grass brushes against the frame edge, with a single discarded leather sandal half-buried in mud. The background shows the flat steppe continuing in all directions under a grey overcast sky, with no structures or figures visible. Diffused cold light eliminates strong shadows, giving the scene a flat, muted quality. The atmosphere is eerie and desolate — traces of human presence recently and suddenly abandoned.",0.4,0,plains
plains_turkic_horsemen,bandit_attack,event.plains_turkic_horsemen.name,event.plains_turkic_horsemen.description,plains_turkic_horsemen,"A dozen Turkic horse archers sweeping in a wide crescent formation across open steppe toward the viewer, dust billowing in a golden cloud behind their galloping horses. The lead rider on a muscular black stallion leans forward in a high-cantled wooden saddle covered in rough leather, drawing a short composite recurve bow with a bone-tipped arrow nocked, mouth open in a shout. He wears a heavy leather jerkin over a grey wool tunic, a round fur-trimmed fox-hide cap, and leather bracers on both forearms. The riders flanking him carry similar bows, with quivers of birch bark bouncing at their hips, their horses a mix of dun, chestnut, and piebald steppe breeds with short manes and thick necks. In the foreground, the rear corner of a merchant wagon occupies the lower left — hemp bales stacked high, iron-rimmed wheel half-visible, a coil of rope hanging from a wooden peg on the sideboard. The steppe stretches wide and flat in every direction, golden-brown grass rippling in the wind, with no trees or shelter visible. The sky is a vast expanse of pale blue with a low sun near the horizon casting long dramatic shadows from the approaching horses. The atmosphere is one of sudden, overwhelming threat — nomadic raiders bearing down at full gallop.",0.8,0,plains
plains_cart_axle_split,caravan_trouble,event.plains_cart_axle_split.name,event.plains_cart_axle_split.description,plains_cart_axle_split,"A heavy merchant wagon collapsed onto its right side on a flat steppe road, its main wooden axle visibly split lengthwise with pale splintered wood exposed along the crack. Both wheels have splayed outward at unnatural angles, iron rims half-buried in the dusty earth. Burlap sacks and hemp-wrapped bales have slid against the cracked sideboard, one sack torn open with grain spilling onto the ground. A yoked ox stands ahead of the wagon, its harness slack, looking back with wide dark eyes. Two caravan workers kneel beside the broken axle — one gripping the split timber, the other holding a coil of thick wet hemp rope and a wooden splint cut from a spare plank. Tools lie scattered: a heavy iron mallet, a leather pouch of iron nails, and a curved knife. The road surface is dry packed earth with deep ruts, small stones, and cracks. The surrounding steppe is featureless and flat, covered in short brown grass with no trees, no buildings, no other travelers visible to the horizon. A wide grey-white sky suggests midday with thin cloud cover, casting even diffused light without strong shadows. The atmosphere is one of grim, isolated labor — a serious breakdown requiring improvisation far from any settlement.",0.5,0,plains
