city_id,node_id,name_key,description_key,city_type_id,primary_culture_id,secondary_culture_id,market_scale,has_port,notes,loc_link,loc_ru,loc_en
quanzhou,N_Quanzhou,city.quanzhou.name,city.quanzhou.description,port_city,china,,1.20,TRUE,Главный морской торговый порт Мин,перевод,Цюаньчжоу,Quanzhou
shanghai,N_Shanghai,city.shanghai.name,city.shanghai.description,port_city,china,,1.00,TRUE,"Растущий порт, ещё не мегаполис",перевод,Шанхай,Shanghai
guangzhou,N_Guangzhou,city.guangzhou.name,city.guangzhou.description,port_city,china,,1.18,TRUE,"Южные морские связи, импорт/экспорт",перевод,Гуанчжоу,Guangzhou
hangzhou,N_Hangzhou,city.hangzhou.name,city.hangzhou.description,capital,china,,1.10,TRUE,"Столица Южной Сун, ремесло, текстиль, чай",перевод,Ханчжоу,Hangzhou
beijing,N_Beijing,city.beijing.name,city.beijing.description,capital,china,,1.25,FALSE,"Столица Мин, огромный спрос, дорогие товары",перевод,Пекин,Beijing
changan,N_Chang`an,city.changan.name,city.changan.description,capital,china,steppe,1.15,FALSE,"Старая столица, ворота в Среднюю Азию",перевод,Чанъань,Chang'an
lanzhou,N_Lanzhou,city.lanzhou.name,city.lanzhou.description,border_city,china,steppe,0.95,FALSE,"Пограничный город, перекосы цен",перевод,Ланьчжоу,Lanzhou
jiuquan,N_Jiuquan,city.jiuquan.name,city.jiuquan.description,oasis_stop,china,,0.50,FALSE,Караванная остановка в коридоре Хэси,перевод,Цзюцюань,Jiuquan
yumen,N_Yumen,city.yumen.name,city.yumen.description,oasis_stop,china,,0.45,FALSE,Нефритовые врата — граница Китая,перевод,Юймэнь,Yumen
anxi,N_Anxi,city.anxi.name,city.anxi.description,oasis_stop,china,,0.45,FALSE,Последняя китайская застава перед пустыней,перевод,Аньси,Anxi
lijiang,N_Lijang,city.lijiang.name,city.lijiang.description,market_town,china,,0.75,FALSE,Горный город наси — чайная торговля,перевод,Лицзян,Lijiang
lhasa,N_Lhasa,city.lhasa.name,city.lhasa.description,holy_city,tibet,,0.65,FALSE,Священный город тибетского буддизма,перевод,Лхаса,Lhasa
hami,N_Hami,city.hami.name,city.hami.description,oasis_stop,steppe,,0.50,FALSE,Оазис на пути из Китая на запад,перевод,Хами,Hami
urumqi,N_Urumqi,city.urumqi.name,city.urumqi.description,oasis_stop,steppe,,0.50,FALSE,Оазис на северном пути вдоль Тянь-Шаня,перевод,Урумчи,Urumqi
kucha,N_Kucha,city.kucha.name,city.kucha.description,oasis_stop,steppe,,0.45,FALSE,Древний буддийский центр на северном пути,перевод,Куча,Kucha
aksu,N_Aksu,city.aksu.name,city.aksu.description,oasis_stop,steppe,,0.45,FALSE,Оазис на северном пути,перевод,Аксу,Aksu
kashgar,N_Kashgar,city.kashgar.name,city.kashgar.description,trade_hub,steppe,central_asia,1.10,FALSE,"Перекрёсток путей — север, юг, запад",перевод,Кашгар,Kashgar
khotan,N_Khotan,city.khotan.name,city.khotan.description,resource_city,steppe,,0.85,FALSE,"Нефрит, шёлк — южный путь",перевод,Хотан,Khotan
osh,N_Osh,city.osh.name,city.osh.description,market_town,central_asia,,0.75,FALSE,Ферганская долина — вход в Среднюю Азию,перевод,Ош,Osh
samarkand,N_Samarkand,city.samarkand.name,city.samarkand.description,trade_hub,central_asia,,1.15,FALSE,"Сердце Шёлкового пути, площадь Регистан",перевод,Самарканд,Samarkand
bukhara,N_Bukhara,city.bukhara.name,city.bukhara.description,craft_city,central_asia,,1.05,FALSE,"Ремёсла, медресе, учёность",перевод,Бухара,Bukhara
balkh,N_Balkh,city.balkh.name,city.balkh.description,resource_city,central_asia,,0.80,FALSE,"Мать городов, сырьевой центр",перевод,Балх,Balkh
kabul,N_Kabul,city.kabul.name,city.kabul.description,border_city,central_asia,india,0.90,FALSE,Горный перевал между мирами,перевод,Кабул,Kabul
delhi,N_Dehli,city.delhi.name,city.delhi.description,capital,india,,1.20,FALSE,"Столица Делийского султаната, огромный рынок",перевод,Дели,Delhi
patna,N_Patna,city.patna.name,city.patna.description,market_town,india,,0.75,FALSE,Город на Ганге,перевод,Патна,Patna
allahabad,N_Allahabad,city.allahabad.name,city.allahabad.description,holy_city,india,,0.65,FALSE,"Слияние священных рек, паломничество",перевод,Аллахабад,Allahabad
tamralipti,N_Tamralipti,city.tamralipti.name,city.tamralipti.description,port_city,india,,0.95,TRUE,Бенгальский порт — путь на восток,перевод,Тамралипти,Tamralipti
cambay,N_Cambay,city.cambay.name,city.cambay.description,port_city,india,,1.00,TRUE,Порт Гуджарата — торговля с Аравией,перевод,Камбей,Cambay
mashhad,N_Mashhad,city.mashhad.name,city.mashhad.description,market_town,persia,,0.80,FALSE,Город на пути из Средней Азии в Персию,перевод,Мешхед,Mashhad
nishapur,N_Nishapur,city.nishapur.name,city.nishapur.description,market_town,persia,,0.80,FALSE,"Бирюза, поэзия Хайяма",перевод,Нишапур,Nishapur
rey,N_Rayy,city.rey.name,city.rey.description,market_town,persia,,0.80,FALSE,Древний город у Тегерана,перевод,Рей,Rey
baghdad,N_Baghdad,city.baghdad.name,city.baghdad.description,capital,mesopotamia,persia,1.20,FALSE,"Круглый город, Дом мудрости, халифат",перевод,Багдад,Baghdad
mosul,N_Mosul,city.mosul.name,city.mosul.description,border_city,mesopotamia,,0.90,FALSE,"Пограничный город, переправа через Тигр",перевод,Мосул,Mosul
aleppo,N_Aleppo,city.aleppo.name,city.aleppo.description,trade_hub,levant,,1.10,FALSE,"Древний базар, перекрёсток путей",перевод,Алеппо,Aleppo
damascus,N_Damascus,city.damascus.name,city.damascus.description,craft_city,levant,,1.05,FALSE,"Дамасская сталь, ремёсла",перевод,Дамаск,Damascus
antioch,N_Antioch,city.antioch.name,city.antioch.description,border_city,levant,byzantine,0.90,FALSE,Крепость крестоносцев на побережье,перевод,Антиохия,Antioch
tripoli,N_Tripoly,city.tripoli.name,city.tripoli.description,port_city,levant,,0.95,TRUE,Левантийский порт,перевод,Триполи,Tripoli
gaza,N_Gaza,city.gaza.name,city.gaza.description,market_town,levant,,0.75,FALSE,Торговый город на пути в Египет,перевод,Газа,Gaza
cairo,N_Cairo,city.cairo.name,city.cairo.description,capital,levant,,1.20,FALSE,"Столица мамлюков, врата Африки",перевод,Каир,Cairo
hormuz,N_Hormuz,city.hormuz.name,city.hormuz.description,port_city,arabia,,1.05,TRUE,Остров-порт в Персидском заливе,перевод,Хормуз,Hormuz
suhar,N_Suhar,city.suhar.name,city.suhar.description,port_city,arabia,,0.90,TRUE,Оманский порт — путь в Индию,перевод,Сухар,Suhar
medina,N_Medina,city.medina.name,city.medina.description,holy_city,arabia,,0.65,FALSE,Священный город ислама,перевод,Медина,Medina
mecca,N_Mecca,city.mecca.name,city.mecca.description,holy_city,arabia,,0.70,FALSE,"Главная святыня ислама, хадж",перевод,Мекка,Mecca
aydhab,N_Aydhab,city.aydhab.name,city.aydhab.description,port_city,arabia,,0.85,TRUE,Портовый город на Красном море,перевод,Айдхаб,Aydhab
trabzon,N_Trabzon,city.trabzon.name,city.trabzon.description,port_city,anatolia,,0.95,TRUE,Черноморский порт — вход в Анатолию,перевод,Трабзон,Trabzon
constantinople,N_Constantinople,city.constantinople.name,city.constantinople.description,capital,byzantine,,1.25,TRUE,"Конец Шёлкового пути, Святая София, стены Феодосия",перевод,Константинополь,Constantinople
